id,category,question,expected_answer,source_docs,answerable,difficulty,tags,answer,latency_seconds,retrieval_hit,citation_count,refusal_pass,retrieved_documents,chat_session_id,message_id,error
Q001,company,CloudOrder主要服务什么类型的客户？,面向零售、电商和连锁门店，提供订单、库存、支付回调和履约协同能力。,01_company/01_company_profile.md,yes,easy,single-hop,,240.121,,0,,[],,,TimeoutError: timed out
Q002,security,CloudOrder会保存银行卡号和CVV吗？,不会。平台只保存渠道交易号、金额、状态和脱敏后的支付方式。,01_company/01_company_profile.md,yes,easy,safety,,240.119,,0,,[],,,TimeoutError: timed out
Q003,operations,L1客服能直接查询生产数据库吗？,不能。L1负责收集信息，生产只读查询由L2按权限执行。,01_company/02_team_and_escalation.md,yes,easy,permission,,240.119,,0,,[],,,TimeoutError: timed out
Q004,operations,P0事件需要在多久内建立事件频道？,5分钟内，并立即通知SRE值班负责人和事故指挥官。,01_company/02_team_and_escalation.md,yes,easy,sla,,240.119,,0,,[],,,TimeoutError: timed out
Q005,architecture,外部请求进入后首先经过哪些基础组件？,先进入腾讯云CLB，再由API Gateway完成TLS终止、限流、租户识别和鉴权。,02_architecture/03_system_architecture.md,yes,easy,single-hop,,240.007,,0,,[],,,TimeoutError: timed out
Q006,architecture,核心事务数据和热点幂等结果分别存在哪里？,核心事务数据在PostgreSQL，热点与幂等结果在Redis。,02_architecture/03_system_architecture.md,yes,easy,single-hop,,240.02,,0,,[],,,TimeoutError: timed out
Q007,architecture,库存预占和支付确认采用强一致还是最终一致？,通过事件驱动实现最终一致性，跨服务补偿使用Saga和幂等补偿命令。,02_architecture/03_system_architecture.md,yes,medium,concept,,240.02,,0,,[],,,TimeoutError: timed out
Q008,architecture,订单创建接口的P95延迟目标是多少？,正常负载下P95小于300ms。,02_architecture/03_system_architecture.md,yes,easy,metric,,240.019,,0,,[],,,TimeoutError: timed out
Q009,architecture,Notification Service故障是否应该阻塞订单主流程？,不应该，通知故障不得阻塞订单主流程。,02_architecture/04_service_catalog.md,yes,easy,dependency,,240.038,,0,,[],,,TimeoutError: timed out
Q010,architecture,生产Kafka主题默认有多少分区和副本？,默认6分区、3副本。,02_architecture/03_system_architecture.md,yes,easy,metric,,240.007,,0,,[],,,TimeoutError: timed out
Q011,api,调用订单写接口必须携带哪些请求头？,Authorization、X-Tenant-ID、X-Request-ID和Idempotency-Key。,03_api/06_authentication_api.md;03_api/07_order_api.md,yes,medium,multi-source,,240.006,,0,,[],,,TimeoutError: timed out
Q012,api,访问Token和刷新令牌分别有效多久？,访问Token默认60分钟，刷新令牌30天。,03_api/06_authentication_api.md,yes,easy,auth,,240.005,,0,,[],,,TimeoutError: timed out
