id,category,question,expected_answer,source_docs,answerable,difficulty,tags,latency_seconds,retrieved_count,retrieved_identifiers,hit_at_k,first_relevant_rank,reciprocal_rank,error
Q001,company,CloudOrder主要服务什么类型的客户？,面向零售、电商和连锁门店，提供订单、库存、支付回调和履约协同能力。,01_company/01_company_profile.md,yes,easy,single-hop,60.172,0,[],False,,0,TimeoutError: timed out
Q002,security,CloudOrder会保存银行卡号和CVV吗？,不会。平台只保存渠道交易号、金额、状态和脱敏后的支付方式。,01_company/01_company_profile.md,yes,easy,safety,60.17,0,[],False,,0,TimeoutError: timed out
Q003,operations,L1客服能直接查询生产数据库吗？,不能。L1负责收集信息，生产只读查询由L2按权限执行。,01_company/02_team_and_escalation.md,yes,easy,permission,60.168,0,[],False,,0,TimeoutError: timed out
Q004,operations,P0事件需要在多久内建立事件频道？,5分钟内，并立即通知SRE值班负责人和事故指挥官。,01_company/02_team_and_escalation.md,yes,easy,sla,60.168,0,[],False,,0,TimeoutError: timed out
Q005,architecture,外部请求进入后首先经过哪些基础组件？,先进入腾讯云CLB，再由API Gateway完成TLS终止、限流、租户识别和鉴权。,02_architecture/03_system_architecture.md,yes,easy,single-hop,60.008,0,[],False,,0,TimeoutError: timed out
Q006,architecture,核心事务数据和热点幂等结果分别存在哪里？,核心事务数据在PostgreSQL，热点与幂等结果在Redis。,02_architecture/03_system_architecture.md,yes,easy,single-hop,60.006,0,[],False,,0,TimeoutError: timed out
Q007,architecture,库存预占和支付确认采用强一致还是最终一致？,通过事件驱动实现最终一致性，跨服务补偿使用Saga和幂等补偿命令。,02_architecture/03_system_architecture.md,yes,medium,concept,60.006,0,[],False,,0,TimeoutError: timed out
Q008,architecture,订单创建接口的P95延迟目标是多少？,正常负载下P95小于300ms。,02_architecture/03_system_architecture.md,yes,easy,metric,60.004,0,[],False,,0,TimeoutError: timed out
Q009,architecture,Notification Service故障是否应该阻塞订单主流程？,不应该，通知故障不得阻塞订单主流程。,02_architecture/04_service_catalog.md,yes,easy,dependency,6.057,0,[],False,,0,
Q010,architecture,生产Kafka主题默认有多少分区和副本？,默认6分区、3副本。,02_architecture/03_system_architecture.md,yes,easy,metric,4.036,0,[],False,,0,
